tweetID,followers,listed,followings,verified,Total_favourite_count,tweet_favorite_count
8.82904536553279E+017,1044,14,1742,0,97,0
8.8290452937687E+017,1280,93,1045,0,34820,0
8.82904528827294E+017,859,132,252,0,30401,0
8.82904522741252E+017,473,65,302,0,14361,0
8.82904522120679E+017,12830,17,922,0,70,0
8.8290451730566E+017,167,29,83,0,6061,0
8.82904512796676E+017,59,0,97,0,919,0
8.82904511001616E+017,14,0,141,0,261,0
8.82904510431199E+017,404,40,427,0,46096,0
8.82904509953004E+017,6,0,42,0,4,0
8.82904509172793E+017,964,113,623,0,44458,0
8.82904505469116E+017,434,25,227,0,15753,0
8.82904504781476E+017,6373,14,105,0,830,0
8.82904503330234E+017,61,0,510,0,1119,0
8.8290450186632E+017,10874,96,218,0,43239,0
8.82904495650472E+017,2175,5,1435,0,8930,0
8.82904487689572E+017,61,0,510,0,1119,0
8.82904482014573E+017,112,8,431,0,1115,0
8.82904478139199E+017,1207,134,1685,0,3857,0
8.8290446972534E+017,804,128,730,0,46105,0
8.82904457519915E+017,5893372,6080,860,1,3030,2
8.82904457427767E+017,817,0,660,0,2405,0
8.82904449731019E+017,299,1,196,0,2510,0
8.82904449601032E+017,104147,726,1186,0,6,0
8.82904445750698E+017,143,0,56,0,140,0
8.82904439102874E+017,12,1,93,0,25,0
8.82904438410801E+017,69,5,89,0,343,0
8.82904437966217E+017,210,21,393,0,8205,0
8.82904435634065E+017,1590,134,901,0,1014,0
8.82904427614552E+017,69,16,252,0,8958,0
8.82904427438285E+017,10944,119,663,0,63735,0
8.8290441941468E+017,1354,148,2171,0,15908,0
8.82904417418269E+017,25256,75,2523,0,25733,0
8.82904412129182E+017,348335,1569,67,1,102,0
8.82904411261084E+017,1211,11,415,0,11911,0
8.82904408484225E+017,104,2,713,0,789,0
8.82904403627327E+017,52,1,205,0,5,0
8.82904401261633E+017,199,0,1380,0,3604,0
8.82904399554552E+017,2680,19,389,0,12806,0
8.82904398355063E+017,23,0,67,0,1292,0
8.82904396857619E+017,15176,113,781,0,36650,0
8.82904392189354E+017,67,0,237,0,36,0
8.82904387890197E+017,7692,25,3611,0,2657,0
8.8290438496698E+017,3734,46,1029,0,11098,0
8.82904383679328E+017,113,1,235,0,1518,0
8.82904379812069E+017,370,49,136,0,50452,0
8.82904377698157E+017,641,72,14,0,75938,0
8.82904376813035E+017,147,2,149,0,12603,0
8.82904376481767E+017,1648,224,714,0,248523,0
8.82904370592928E+017,2521,34,1714,0,8809,0
8.82904369712202E+017,326,40,965,0,1307,0
8.82904369066262E+017,1999,49,1113,0,7314,0
8.82904367237485E+017,2178,232,1730,0,213799,0
8.82904363735425E+017,52,0,239,0,2514,0
8.8290435613524E+017,55,6,377,0,34,0
8.82904356101566E+017,324,49,1212,0,9198,0
8.82904356076442E+017,157,17,53,0,291,0
8.8290435588345E+017,46,2,124,0,967,0
8.82904346983186E+017,237,7,415,0,6554,0
8.82904338791899E+017,103,0,128,0,9289,0
8.82904336782598E+017,202,2,803,0,11914,0
8.8290433536503E+017,655,15,1323,0,13897,0
8.82904320957665E+017,131,0,49,0,1438,0
8.82904320429216E+017,241,3,375,0,183,0
8.82904318692782E+017,84,2,369,0,510,0
8.82904318105461E+017,111,2,94,0,916,0
8.82904317040222E+017,351,0,679,0,1848,0
8.82904316591452E+017,311,32,526,0,1309,0
8.82904313139307E+017,143,0,56,0,140,0
8.8290430961213E+017,105,4,316,0,2744,0
8.82904309226246E+017,2843,118,2424,0,61893,0
8.8290430648714E+017,181,103,178,0,51955,0
8.82904306323608E+017,349,26,141,0,17960,0
8.82904299642159E+017,186,19,398,0,5597,0
8.82904294718005E+017,57,9,774,0,61,0
8.82904288380371E+017,19,1,90,0,124,0
8.82904284202803E+017,35,0,281,0,1,0
8.82904283582054E+017,360,18,1251,0,17015,0
8.82904282172858E+017,453,6,34,0,25070,0
8.82904267107037E+017,37,2,97,0,532,0
8.82904263189332E+017,50,2,42,0,6925,0
8.82904259972485E+017,1105,19,1901,0,118,0
8.82904254939353E+017,944,13,1833,0,48,0
8.82904251541983E+017,214,0,25,0,45827,0
8.82904234982867E+017,2843,118,2424,0,61893,0
8.82904234345194E+017,16,0,82,0,1186,0
8.82904232315114E+017,88,1,407,0,8679,0
8.82904224408805E+017,2566,10,228,0,1931,0
8.82904221158445E+017,981,13,279,0,33405,0
8.82904213512049E+017,2566,10,228,0,1931,0
8.82904207371583E+017,349,26,141,0,17960,0
8.8290420653688E+017,4308,84,665,0,8153,0
8.82904206495101E+017,38,1,266,0,326,0
8.82904200706834E+017,1035,13,302,0,499,0
8.82904193069195E+017,1035,13,302,0,499,0
8.82904190346854E+017,4308,84,665,0,8153,0
8.82904189986198E+017,596,170,230,0,91470,0
8.8290418732707E+017,114030,239,286,1,820,1
8.82904186597364E+017,14,0,154,0,8,0
8.82904182105055E+017,2907,453,171,0,265712,0
8.82904180641477E+017,173,95,178,0,63,0
8.82904180012208E+017,181,103,178,0,51955,0
8.82904167215452E+017,29050,106,2510,0,85555,0
8.82904159074345E+017,117,6,156,0,1095,0
8.82904153877557E+017,2264,25,3549,0,15435,0
8.8290415355041E+017,548,43,403,0,29906,0
8.8290415224585E+017,3363,198,1672,0,123207,0
8.82904146260615E+017,15593,74,13213,0,54622,0
8.82904143731589E+017,16,0,24,0,26,0
8.82904142561239E+017,414,34,475,0,18914,0
8.82904141021889E+017,102,4,464,0,1160,0
8.82904139000414E+017,672,29,584,0,3223,0
8.82904135691096E+017,88,2,172,0,0,0
8.829041343657E+017,173,95,178,0,63,0
8.82904134181106E+017,527,0,765,0,853,0
8.82904130334802E+017,271,1,116,0,7690,0
8.8290413006234E+017,419,1,276,0,1840,0
8.82904119760925E+017,587,21,755,0,10323,0
8.82904119387734E+017,89,0,159,0,4729,0
8.82904118435562E+017,596,170,230,0,91470,0
8.82904110688748E+017,3235,120,3740,0,68,0
8.82904100609839E+017,143,0,56,0,140,0
8.82904096453284E+017,612,34,1291,0,9411,0
8.82904095945888E+017,1554,1797,991,0,34990,0
8.82904089092403E+017,117,6,156,0,1095,0
8.82904087406277E+017,3347,195,1270,0,124220,0
8.82904084566749E+017,84,14,228,0,187,0
8.82904083589247E+017,757,24,160,0,50715,0
8.82904082930905E+017,193,4,113,0,13349,0
8.82904081253249E+017,134,1,56,0,9881,0
8.82904075960025E+017,0,0,3,0,0,0
8.82904074223403E+017,311,20,647,0,51066,0
8.82904065885295E+017,5235,148,823,0,2710,0
8.82904065046323E+017,179,28,26,0,31005,0
8.82904060151595E+017,21266,169,364,0,12193,4
8.82904050122998E+017,338,8,744,0,156,0
8.82904045664555E+017,43693,123,251,0,112835,0
8.8290403720047E+017,3,0,98,0,1,0
8.82904037074625E+017,2,0,60,0,37,0
8.82904034973295E+017,542,82,555,0,747,0
8.82904033341522E+017,310,4,76,0,3344,10
8.82904032133755E+017,164,10,339,0,225,0
8.8290403132425E+017,363,7,721,0,7470,0
8.8290402474745E+017,756,86,894,0,4617,0
8.8290402045662E+017,49,2,122,0,43,0
8.82904020045763E+017,63,0,207,0,3326,0
8.82904019664089E+017,699,77,1922,0,66958,0
8.82904018543985E+017,382,388,2111,0,59,0
8.82904015775945E+017,111473,548,1114,1,2148,0
8.82904012395303E+017,7521,27,8248,0,40371,0
8.82904005902348E+017,40,0,203,0,2791,0
8.82904005621543E+017,45,0,191,0,6358,0
8.82903993168478E+017,26,3,170,0,10090,0
8.82903992715551E+017,48247,128,27476,0,37157,0
8.82903990664446E+017,107,0,372,0,1966,0
8.82903988684947E+017,10323,289,11354,0,249678,0
8.82903987984286E+017,1364,62,1928,0,1836,0
8.82903985975374E+017,131394,831,241,0,32,0
8.82903978245144E+017,25,3,83,0,166,0
8.82903976810693E+017,33,0,88,0,4131,0
8.82903972171743E+017,2566,10,228,0,1931,0
8.82903968405496E+017,27,0,37,0,1399,0
8.82903964404011E+017,6869,13,2929,0,2973,0
8.8290395576805E+017,169,102,197,0,2140,0
8.8290395563384E+017,44,8,79,0,15128,0
8.829039470355E+017,9,0,21,0,2,0
8.82903937489093E+017,1036,11,1443,0,9506,0
8.82903936893506E+017,382,388,2111,0,59,0
8.82903934783832E+017,159,8,664,0,12027,0
8.82903934456795E+017,0,0,0,0,0,0
8.8290393050554E+017,3235,120,3740,0,68,0
8.82903923698278E+017,126,11,217,0,4075,0
8.82903920183398E+017,10,0,22,0,196,0
8.82903918027473E+017,73,10,312,0,351,0
8.82903916765094E+017,14618,156,2219,0,102,0
8.82903912847684E+017,4078,14,1526,0,9571,0
8.82903911819903E+017,10944,119,663,0,63735,0
8.82903911119671E+017,2,0,80,0,138,0
8.82903909500506E+017,45690,298,4810,0,194516,1
8.82903909077062E+017,7521,27,8248,0,40371,0
8.82903903884464E+017,27,0,37,0,1399,0
8.82903899262276E+017,345,110,1190,0,6399,0
8.82903898133979E+017,56,0,147,0,9534,0
8.829038957097E+017,321,18,503,0,35043,0
8.82903895638499E+017,707,35,4990,0,180,0
8.82903893008458E+017,270,10,247,0,2251,0
8.82903891314168E+017,207,10,450,0,28814,0
